date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:45:46	235/235	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2008%20Aug%202026%2018:45:46%20GMT	http://localhost/wordpress	/Users/fahimpc/personal/untitled%20folder/localhost/wordpress.0.delayed	(from )
00:45:48	156466/156466	---MC-	200	added ('OK')	text/html	date:Sat,%2008%20Aug%202026%2018:45:47%20GMT	http://localhost/wordpress/	/Users/fahimpc/personal/untitled%20folder/localhost/wordpress/index.html	(from )
00:45:48	1027/1027	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Aug%202026%2018:45:47%20GMT	http://localhost/robots.txt		(from )
00:45:49	2130/2130	---M--	200	added ('OK')	application/json	date:Sat,%2008%20Aug%202026%2018:45:48%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2F	/Users/fahimpc/personal/untitled%20folder/localhost/wordpress/wp-json/oembed/1.0/embed68f4.json	(from http://localhost/wordpress/)
00:45:49	832/832	---M--	200	added ('OK')	application/rss+xml	etag:%225821a495a39fab2888da0ee7f56cf8d3%22	http://localhost/wordpress/feed/	/Users/fahimpc/personal/untitled%20folder/localhost/wordpress/feed/index.html	(from http://localhost/wordpress/)
00:45:49	2279/2279	---M--	200	added ('OK')	text/xml	date:Sat,%2008%20Aug%202026%2018:45:49%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2F&format=xml	/Users/fahimpc/personal/untitled%20folder/localhost/wordpress/wp-json/oembed/1.0/embedd248	(from http://localhost/wordpress/)
00:45:49	726/726	---M--	200	added ('OK')	application/rss+xml	etag:%225821a495a39fab2888da0ee7f56cf8d3%22	http://localhost/wordpress/comments/feed/	/Users/fahimpc/personal/untitled%20folder/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
00:45:49	44905/44905	---M--	200	added ('OK')	text/css	etag:%22af69-65879abb029c0%22	http://localhost/wordpress/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.13.8	/Users/fahimpc/personal/untitled%20folder/localhost/wordpress/wp-content/themes/astra/assets/css/minified/main.min1be6.css	(from http://localhost/wordpress/)
00:45:49	83015/83015	---M--	200	added ('OK')	text/css	etag:%2214447-6588d0cf0bac0%22	http://localhost/wordpress/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.9.2	/Users/fahimpc/personal/untitled%20folder/localhost/wordpress/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontendab7d.css	(from http://localhost/wordpress/)
00:45:50	776/776	---M--	200	added ('OK')	text/css	etag:%22308-6588d0cf0bac0%22	http://localhost/wordpress/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.9.2	/Users/fahimpc/personal/untitled%20folder/localhost/wordpress/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementorab7d.css	(from http://localhost/wordpress/)
